Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,V,V,V,V,V,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,JPM,JPM,JPM,JPM,JPM,MA,MA,MA,MA,MA,AAPL,AAPL,AAPL,AAPL,AAPL,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,135.96280522543205,138.84202245285945,134.5931847895647,138.2721710205078,198247200,222.02999877929688,225.14999389648438,218.19000244140625,220.22000122070312,33956600,588.3456720279144,603.5002752946805,586.4501363728165,597.843505859375,12682300,315.538876362232,317.425470677465,310.20675278032957,312.1827087402344,5369500,189.90623605246924,191.25097555403835,186.76853081449056,188.6909942626953,20370800,235.9256761701603,238.23675347379177,234.48614838250796,235.02474975585938,9220900,526.1668993775943,527.5290681253927,514.7027376646352,519.4157104492188,2818800,247.80920478270548,247.97845273823052,240.73123158611202,242.75209045410156,55740700,390.1000061035156,392.7300109863281,373.0400085449219,379.2799987792969,109710700,422.4139505741353,422.9500047735069,411.81216477472935,415.51483154296875,16896500
2025-01-03,139.9717090810043,144.86037131104774,139.69178686675932,144.4304962158203,229322500,222.50999450683594,225.36000061035156,221.6199951171875,224.19000244140625,27515600,603.3506491790696,608.0795931218428,595.0200718679831,603.220947265625,11436800,311.9642548093809,313.6920041565396,309.8095755895154,312.6891174316406,4271300,190.6234493509959,192.45628295268008,189.2388724318801,191.04180908203125,18596200,238.83414113994397,239.80362374388588,235.2793865346302,238.23678588867188,9491100,519.5449515864346,521.4639187176638,514.7226219590077,518.381591796875,1627500,242.26429748535156,243.08059762167903,240.80091479245596,242.26429748535156,40244100,381.4800109863281,411.8800048828125,379.45001220703125,410.44000244140625,95423300,417.99651176266025,420.9249216883709,416.46781065088146,420.2499084472656,16662900
2025-01-06,148.54936300568127,152.11839407781596,147.77958455274808,149.38912963867188,265377400,226.77999877929688,228.83999633789062,224.83999633789062,227.61000061035156,31849800,610.4041988830613,629.5195213275813,604.2086488423892,628.7313842773438,14560800,312.78841377096296,313.16573868393505,309.8691455838523,310.8323059082031,6567300,193.2232494371018,197.44671400594865,193.09376692292446,196.1019744873047,29563600,239.88059581847392,241.83941284498218,236.80949899026749,237.0752716064453,9917800,517.9938285611538,518.3816151751622,508.0907658349623,509.0054931640625,2920800,243.2100158477468,246.21642284830082,242.10501290585998,243.89691162109375,45045600,423.20001220703125,426.42999267578125,401.70001220703125,411.04998779296875,85516500,424.865875513533,431.13960318889787,422.3643396757335,424.71697998046875,20573600
2025-01-07,152.98814312185272,153.08812187242287,139.97169998670535,140.10166931152344,351782200,227.89999389648438,228.3800048828125,221.4600067138672,222.11000061035156,28084200,630.2278877474329,630.6269190448738,606.8125509705602,616.4500732421875,12071500,310.6833208460521,312.96708770332236,309.1243861840145,309.471923828125,4958600,196.3410311167276,200.2158547626208,193.84082865087865,194.72735595703125,26487200,238.34504591508428,241.41614272410112,237.12447448141728,239.35890197753906,8753400,510.7454894395487,513.3803750408678,508.1603364088289,508.478515625,2211800,241.88599852058522,244.44443460073458,240.263347789176,241.11947631835938,40856000,405.8299865722656,414.3299865722656,390.0,394.3599853515625,75699500,425.85852385294453,427.49643519355806,417.7185585987197,419.2770690917969,18139100
2025-01-08,142.5410270870028,143.9106477112154,137.5223950503333,140.0717010498047,227349900,223.19000244140625,223.52000427246094,220.1999969482422,222.1300048828125,25033300,611.9705610612136,615.0034547439036,601.3852402562982,609.2967529296875,10085800,308.80663336547474,311.82520186759564,308.0221964552262,310.3953552246094,5161600,191.818753365396,195.52422692104554,191.62949216136246,193.193359375,24864800,238.94548506982153,240.421976223703,236.7307483389993,239.3195343017578,8675300,509.11487323599016,514.4940017880324,508.6078073205071,513.4500122070312,2456700,240.83078235887348,242.61273160476242,238.9692066706783,241.60726928710938,37628900,392.95001220703125,402.5,387.3999938964844,394.94000244140625,73038800,420.3590683350305,423.8433749158129,418.4531451224049,421.4510192871094,15054600
2025-01-10,137.41242079266553,139.88174676307978,134.18330808313058,135.8728485107422,207602500,221.4600067138672,221.7100067138672,216.5,218.94000244140625,36811500,608.6083741209461,628.4419884049565,595.9479453181921,614.4247436523438,19256600,309.00526321532783,309.65067300707904,303.8319851052124,305.53985595703125,6660100,193.54201039861906,195.75335107074358,189.5675704988791,191.2908172607422,26665200,239.28014642276608,239.98886335933202,234.99833120229488,236.11061096191406,10256800,509.9449209652828,511.5779701495623,501.22211668078194,502.5265808105469,2815500,238.92936055450792,239.07869430046486,231.95092822526084,235.78359985351562,61710900,391.3999938964844,399.2799987792969,377.2900085449219,394.739990234375,62287300,421.52050962504774,421.59991046888086,411.98086631184646,415.8821105957031,20201100
2025-01-13,129.95446851982027,133.4535116815908,129.4745887600242,133.19357299804688,204808900,218.05999755859375,219.39999389648438,216.47000122070312,218.4600067138672,27262700,605.6851785232928,607.550815769116,597.0553731797557,606.912353515625,10785000,302.84899009710006,304.7554626464844,301.69716735094016,304.7554626464844,9568400,189.32849622892863,190.4341512473398,186.62906193558655,190.2648162841797,21823700,235.9137740589649,240.7074442576627,235.25427642531838,240.38262939453125,10005300,498.872106198826,504.0002265621997,497.79670664598643,502.7655029296875,2885500,232.47854174290725,233.61340834282421,228.6856985060818,233.34461975097656,49630700,383.2099914550781,403.7900085449219,380.07000732421875,403.30999755859375,67580500,412.19927707865725,415.4354144937977,409.2708974707551,414.135009765625,17604800
2025-01-14,136.0128040706775,136.3427156721725,130.0144445990235,131.72396850585938,195590500,220.44000244140625,221.82000732421875,216.1999969482422,217.75999450683594,24711700,603.659903819051,604.0789079674663,587.1783838616758,592.8651123046875,13598000,306.572527233451,307.9725867835767,305.3511909529538,306.9101257324219,5107600,190.4939429327445,191.23104632862814,187.57536549994643,188.92010498046875,17174900,238.8568944878796,243.83758881212796,238.3942594005622,243.5915069580078,12407400,504.91633267973486,507.22648625422084,502.0684641345756,506.8580322265625,2704800,233.69305795736565,235.05688478727922,231.4233246799516,232.22967529296875,39435300,414.3399963378906,422.6400146484375,394.5400085449219,396.3599853515625,84565000,414.7504731982745,416.6663329915462,407.7123952362894,412.62615966796875,16935900
